criterion,max_depth,accuracy
gini,1,0.9619047619047619
gini,2,0.9761904761904762
gini,3,0.9857142857142858
gini,4,0.9809523809523809
gini,5,0.9809523809523809
gini,6,0.9714285714285714
gini,7,0.9666666666666667
gini,8,0.9619047619047619
gini,9,0.9714285714285714
gini,10,0.9714285714285714
entropy,1,0.9571428571428572
entropy,2,0.9714285714285714
entropy,3,0.9857142857142858
entropy,4,0.9809523809523809
entropy,5,0.9714285714285714
entropy,6,0.9714285714285714
entropy,7,0.9619047619047619
entropy,8,0.9761904761904762
entropy,9,0.9666666666666667
entropy,10,0.9666666666666667
log_loss,1,0.9619047619047619
log_loss,2,0.9714285714285714
log_loss,3,0.9809523809523809
log_loss,4,0.9857142857142858
log_loss,5,0.9761904761904762
log_loss,6,0.9809523809523809
log_loss,7,0.9761904761904762
log_loss,8,0.9714285714285714
log_loss,9,0.9761904761904762
log_loss,10,0.9714285714285714
